dayOfWeek,binName,emailCount
Monday,dawn,0
Monday,early,0
Monday,afternoon,4
Monday,evening,12
Tuesday,dawn,7
Tuesday,early,25
Tuesday,afternoon,20
Tuesday,evening,8
Wednesday,dawn,2
Wednesday,early,9
Wednesday,afternoon,13
Wednesday,evening,0
Thursday,dawn,0
Thursday,early,0
Thursday,afternoon,0
Thursday,evening,0
Friday,dawn,0
Friday,early,0
Friday,afternoon,0
Friday,evening,0
Saturday,dawn,0
Saturday,early,0
Saturday,afternoon,0
Saturday,evening,0
Sunday,dawn,0
Sunday,early,0
Sunday,afternoon,0
Sunday,evening,0
